This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 161, Id: 151, Duration: 1, Teachers: Grade Teacher 4, Subject: Pastoral Programme of Instruction, Activity tags: , Students: Grade 4
No: 162, Id: 46, Duration: 1, Teachers: Grade Teacher 1, Subject: English, Activity tags: , Students: Grade 1
No: 163, Id: 47, Duration: 1, Teachers: Grade Teacher 1, Subject: English, Activity tags: , Students: Grade 1
No: 164, Id: 48, Duration: 1, Teachers: Grade Teacher 1, Subject: English, Activity tags: , Students: Grade 1
No: 165, Id: 49, Duration: 1, Teachers: Grade Teacher 1, Subject: English, Activity tags: , Students: Grade 1
No: 166, Id: 50, Duration: 1, Teachers: Grade Teacher 1, Subject: English, Activity tags: , Students: Grade 1
No: 167, Id: 51, Duration: 1, Teachers: Grade Teacher 1, Subject: Kiswahili, Activity tags: , Students: Grade 1
No: 168, Id: 52, Duration: 1, Teachers: Grade Teacher 1, Subject: Kiswahili, Activity tags: , Students: Grade 1
No: 169, Id: 53, Duration: 1, Teachers: Grade Teacher 1, Subject: Kiswahili, Activity tags: , Students: Grade 1
No: 170, Id: 54, Duration: 1, Teachers: Grade Teacher 1, Subject: Kiswahili, Activity tags: , Students: Grade 1
No: 171, Id: 55, Duration: 1, Teachers: Grade Teacher 1, Subject: Mathematics, Activity tags: , Students: Grade 1
No: 172, Id: 56, Duration: 1, Teachers: Grade Teacher 1, Subject: Mathematics, Activity tags: , Students: Grade 1
No: 173, Id: 57, Duration: 1, Teachers: Grade Teacher 1, Subject: Mathematics, Activity tags: , Students: Grade 1
No: 174, Id: 58, Duration: 1, Teachers: Grade Teacher 1, Subject: Mathematics, Activity tags: , Students: Grade 1
No: 175, Id: 59, Duration: 1, Teachers: Grade Teacher 1, Subject: Mathematics, Activity tags: , Students: Grade 1
No: 176, Id: 60, Duration: 1, Teachers: Grade Teacher 1, Subject: Environmental Activities, Activity tags: , Students: Grade 1
No: 177, Id: 61, Duration: 1, Teachers: Grade Teacher 1, Subject: Environmental Activities, Activity tags: , Students: Grade 1
No: 178, Id: 62, Duration: 1, Teachers: Grade Teacher 1, Subject: Environmental Activities, Activity tags: , Students: Grade 1
No: 179, Id: 63, Duration: 1, Teachers: Grade Teacher 1, Subject: Environmental Activities, Activity tags: , Students: Grade 1
No: 180, Id: 64, Duration: 1, Teachers: Grade Teacher 1, Subject: Creative Arts, Activity tags: , Students: Grade 1
No: 181, Id: 65, Duration: 1, Teachers: Grade Teacher 1, Subject: Creative Arts, Activity tags: , Students: Grade 1
No: 182, Id: 66, Duration: 1, Teachers: Grade Teacher 1, Subject: Creative Arts, Activity tags: , Students: Grade 1
No: 183, Id: 67, Duration: 1, Teachers: Grade Teacher 1, Subject: Physical and Health Education, Activity tags: , Students: Grade 1
No: 184, Id: 68, Duration: 1, Teachers: Grade Teacher 1, Subject: Physical and Health Education, Activity tags: , Students: Grade 1
No: 185, Id: 69, Duration: 1, Teachers: Grade Teacher 1, Subject: Physical and Health Education, Activity tags: , Students: Grade 1
